id,uf,nome_uf,mesorregiao_geografica,nome_mesorregião,microrregiao_geografica,nome_microrregiao,municipio,codigo_municipio_completo,nome_municipio,distrito,codigo_de_distrito_completo,nome_distrito
1,11,Rondônia,02,"Leste Rondoniense",006,Cacoal,00015,1100015,"Alta Floresta D'Oeste",05,110001505,"Alta Floresta D'Oeste"
2,11,Rondônia,02,"Leste Rondoniense",006,Cacoal,00015,1100015,"Alta Floresta D'Oeste",15,110001515,"Filadélfia d'Oeste"
3,11,Rondônia,02,"Leste Rondoniense",006,Cacoal,00015,1100015,"Alta Floresta D'Oeste",20,110001520,Izidolândia
4,11,Rondônia,02,"Leste Rondoniense",006,Cacoal,00015,1100015,"Alta Floresta D'Oeste",25,110001525,"Nova Gease d'Oeste"
5,11,Rondônia,02,"Leste Rondoniense",006,Cacoal,00015,1100015,"Alta Floresta D'Oeste",30,110001530,"Rolim de Moura do Guaporé"
6,11,Rondônia,02,"Leste Rondoniense",006,Cacoal,00015,1100015,"Alta Floresta D'Oeste",35,110001535,"Santo Antônio d'Oeste"
7,11,Rondônia,02,"Leste Rondoniense",006,Cacoal,00379,1100379,"Alto Alegre dos Parecis",05,110037905,"Alto Alegre dos Parecis"
8,11,Rondônia,02,"Leste Rondoniense",003,Ariquemes,00403,1100403,"Alto Paraíso",05,110040305,"Alto Paraíso"
9,11,Rondônia,02,"Leste Rondoniense",005,"Alvorada D'Oeste",00346,1100346,"Alvorada D'Oeste",05,110034605,"Alvorada D'Oeste"
10,11,Rondônia,02,"Leste Rondoniense",005,"Alvorada D'Oeste",00346,1100346,"Alvorada D'Oeste",25,110034625,Tancredópolis
11,11,Rondônia,02,"Leste Rondoniense",005,"Alvorada D'Oeste",00346,1100346,"Alvorada D'Oeste",30,110034630,"Terra Boa"
12,11,Rondônia,02,"Leste Rondoniense",003,Ariquemes,00023,1100023,Ariquemes,05,110002305,Ariquemes
13,11,Rondônia,01,Madeira-Guaporé,001,"Porto Velho",00452,1100452,Buritis,05,110045205,Buritis
14,11,Rondônia,02,"Leste Rondoniense",008,"Colorado do Oeste",00031,1100031,Cabixi,05,110003105,Cabixi
15,11,Rondônia,02,"Leste Rondoniense",003,Ariquemes,00601,1100601,Cacaulândia,05,110060105,Cacaulândia
16,11,Rondônia,02,"Leste Rondoniense",006,Cacoal,00049,1100049,Cacoal,05,110004905,Cacoal
17,11,Rondônia,02,"Leste Rondoniense",006,Cacoal,00049,1100049,Cacoal,10,110004910,Riozinho
18,11,Rondônia,02,"Leste Rondoniense",006,Cacoal,00049,1100049,Cacoal,15,110004915,Divinópolis
19,11,Rondônia,01,Madeira-Guaporé,001,"Porto Velho",00700,1100700,"Campo Novo de Rondônia",05,110070005,"Campo Novo de Rondônia"
20,11,Rondônia,01,Madeira-Guaporé,001,"Porto Velho",00809,1100809,"Candeias do Jamari",05,110080905,"Candeias do Jamari"
21,11,Rondônia,01,Madeira-Guaporé,001,"Porto Velho",00809,1100809,"Candeias do Jamari",20,110080920,"Rio Preto do Candeias"
22,11,Rondônia,02,"Leste Rondoniense",006,Cacoal,00908,1100908,Castanheiras,05,110090805,Castanheiras
23,11,Rondônia,02,"Leste Rondoniense",008,"Colorado do Oeste",00056,1100056,Cerejeiras,05,110005605,Cerejeiras
24,11,Rondônia,02,"Leste Rondoniense",007,Vilhena,00924,1100924,Chupinguaia,05,110092405,Chupinguaia
25,11,Rondônia,02,"Leste Rondoniense",008,"Colorado do Oeste",00064,1100064,"Colorado do Oeste",05,110006405,"Colorado do Oeste"
26,11,Rondônia,02,"Leste Rondoniense",008,"Colorado do Oeste",00072,1100072,Corumbiara,05,110007205,Corumbiara
27,11,Rondônia,01,Madeira-Guaporé,002,Guajará-Mirim,00080,1100080,"Costa Marques",05,110008005,"Costa Marques"
28,11,Rondônia,01,Madeira-Guaporé,002,Guajará-Mirim,00080,1100080,"Costa Marques",15,110008015,"Príncipe da Beira"
29,11,Rondônia,01,Madeira-Guaporé,001,"Porto Velho",00940,1100940,Cujubim,05,110094005,Cujubim
30,11,Rondônia,02,"Leste Rondoniense",006,Cacoal,00098,1100098,"Espigão D'Oeste",05,110009805,"Espigão D'Oeste"
31,11,Rondônia,02,"Leste Rondoniense",006,Cacoal,00098,1100098,"Espigão D'Oeste",10,110009810,"Boa Vista do Pacarana"
